127.0.0.1 - - [07/Feb/2020:22:25:25 -0800] "GET / HTTP/1.1" 404 709
127.0.0.1 - - [07/Feb/2020:22:25:26 -0800] "GET /giftcard/form.html HTTP/1.1" 200 19358
127.0.0.1 - - [07/Feb/2020:22:25:26 -0800] "GET /giftcard/form.css HTTP/1.1" 200 1323
127.0.0.1 - - [07/Feb/2020:22:25:26 -0800] "GET /giftcard/email-validation.js HTTP/1.1" 404 741
127.0.0.1 - - [07/Feb/2020:22:25:26 -0800] "GET /giftcard/wp45992.jpg HTTP/1.1" 404 733
0:0:0:0:0:0:0:1 - - [07/Feb/2020:22:25:40 -0800] "GET /giftcard/form.html HTTP/1.1" 200 19358
0:0:0:0:0:0:0:1 - - [07/Feb/2020:22:25:40 -0800] "GET /giftcard/email-validation.js HTTP/1.1" 404 741
0:0:0:0:0:0:0:1 - - [07/Feb/2020:22:25:40 -0800] "GET /giftcard/form.css HTTP/1.1" 200 1323
0:0:0:0:0:0:0:1 - - [07/Feb/2020:22:25:40 -0800] "GET /giftcard/wp45992.jpg HTTP/1.1" 404 733
0:0:0:0:0:0:0:1 - - [07/Feb/2020:22:25:40 -0800] "GET /giftcard/email-validation.js HTTP/1.1" 404 741
0:0:0:0:0:0:0:1 - - [07/Feb/2020:22:25:40 -0800] "GET /favicon.ico HTTP/1.1" 404 720
127.0.0.1 - - [07/Feb/2020:22:26:54 -0800] "GET /giftcard/form.html HTTP/1.1" 200 18819
127.0.0.1 - - [07/Feb/2020:22:26:54 -0800] "GET /giftcard/email-validation.js HTTP/1.1" 404 741
127.0.0.1 - - [07/Feb/2020:22:26:54 -0800] "GET /giftcard/wp45992.jpg HTTP/1.1" 404 733
0:0:0:0:0:0:0:1 - - [07/Feb/2020:22:27:05 -0800] "GET /giftcard/form.html HTTP/1.1" 200 18819
0:0:0:0:0:0:0:1 - - [07/Feb/2020:22:27:05 -0800] "GET /giftcard/email-validation.js HTTP/1.1" 404 741
0:0:0:0:0:0:0:1 - - [07/Feb/2020:22:27:05 -0800] "GET /giftcard/wp45992.jpg HTTP/1.1" 404 733
0:0:0:0:0:0:0:1 - - [07/Feb/2020:22:27:05 -0800] "GET /giftcard/email-validation.js HTTP/1.1" 404 741
0:0:0:0:0:0:0:1 - - [07/Feb/2020:22:29:19 -0800] "GET /giftcard/form.html HTTP/1.1" 200 18855
0:0:0:0:0:0:0:1 - - [07/Feb/2020:22:29:20 -0800] "GET /giftcard/email-validation.js HTTP/1.1" 404 741
0:0:0:0:0:0:0:1 - - [07/Feb/2020:22:29:20 -0800] "GET /giftcard/wp45992.jpg HTTP/1.1" 404 733
0:0:0:0:0:0:0:1 - - [07/Feb/2020:22:29:20 -0800] "GET /giftcard/email-validation.js HTTP/1.1" 404 741
127.0.0.1 - - [07/Feb/2020:22:29:37 -0800] "GET /giftcard/form.html HTTP/1.1" 200 18855
127.0.0.1 - - [07/Feb/2020:22:29:37 -0800] "GET /giftcard/email-validation.js HTTP/1.1" 404 741
127.0.0.1 - - [07/Feb/2020:22:29:37 -0800] "GET /giftcard/wp45992.jpg HTTP/1.1" 404 733
0:0:0:0:0:0:0:1 - - [07/Feb/2020:22:29:44 -0800] "GET /giftcard/form.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Feb/2020:22:29:44 -0800] "GET /giftcard/email-validation.js HTTP/1.1" 404 741
0:0:0:0:0:0:0:1 - - [07/Feb/2020:22:29:44 -0800] "GET /giftcard/wp45992.jpg HTTP/1.1" 404 733
0:0:0:0:0:0:0:1 - - [07/Feb/2020:22:29:44 -0800] "GET /giftcard/email-validation.js HTTP/1.1" 404 741
0:0:0:0:0:0:0:1 - - [07/Feb/2020:22:31:22 -0800] "GET /giftcard/form.html HTTP/1.1" 200 18855
0:0:0:0:0:0:0:1 - - [07/Feb/2020:22:31:22 -0800] "GET /giftcard/form.css HTTP/1.1" 200 1323
0:0:0:0:0:0:0:1 - - [07/Feb/2020:22:31:22 -0800] "GET /giftcard/email-validation.js HTTP/1.1" 404 741
0:0:0:0:0:0:0:1 - - [07/Feb/2020:22:31:22 -0800] "GET /giftcard/wp45992.jpg HTTP/1.1" 404 733
